COM;Pot_Cont;Escalao;ORD;COD_Proposta;Contagem;TF;TV|TVFV|TVP;TVV|TVC;TVVz;TFGN;TVGN
CURREN;;2;REN;CUR;;;;;;0,1298;0,0601
CURREN;;3;REN;CUR;;;;;;0,1643;0,0571
CURREN;;4;REN;CUR;;;;;;0,2068;0,0559
CURSET;;1;SET;CUR;;;;;;0,0897;0,0647
CURSET;;2;SET;CUR;;;;;;0,1298;0,0601
CURSET;;3;SET;CUR;;;;;;0,1643;0,0571
CURSET;;4;SET;CUR;;;;;;0,2068;0,0559
CURTAG;;1;TAG;CUR;;;;;;0,0897;0,0647
CURTAG;;2;TAG;CUR;;;;;;0,1298;0,0601
CURTAG;;3;TAG;CUR;;;;;;0,1643;0,0571
CURTAG;;4;TAG;CUR;;;;;;0,2068;0,0559
ACCIONA;1,15;1;;ACCIONA_01;1;0,1757;0,174944641896;;;;
ACCIONA;2,3;2;;ACCIONA_01;1;0,2564;0,174944641896;;;;
ACCIONA;3,45;3;;ACCIONA_01;1;0,3106;0,174944641896;;;;
ACCIONA;4,6;4;;ACCIONA_01;1;0,4082;0,174944641896;;;;
ACCIONA;5,75;;;ACCIONA_01;1;0,4986;0,174944641896;;;;
ACCIONA;6,9;;;ACCIONA_01;1;0,5799;0,174944641896;;;;
ACCIONA;10,35;;;ACCIONA_01;1;0,8073;0,174944641896;;;;
ACCIONA;13,8;;;ACCIONA_01;1;1,0201;0,174944641896;;;;
ACCIONA;17,25;;;ACCIONA_01;1;1,2241;0,174944641896;;;;
ACCIONA;20,7;;;ACCIONA_01;1;1,4696;0,174944641896;;;;
ACCIONA;1,15;;;ACCIONA_01;2;0,1757;0,1987451245216;0,1287235696144;;;
ACCIONA;2,3;;;ACCIONA_01;2;0,2564;0,1987451245216;0,1287235696144;;;
ACCIONA;3,45;;;ACCIONA_01;2;0,3106;0,1987451245216;0,1287235696144;;;
ACCIONA;4,6;;;ACCIONA_01;2;0,4082;0,1987451245216;0,1287235696144;;;
ACCIONA;5,75;;;ACCIONA_01;2;0,4986;0,1987451245216;0,1287235696144;;;
ACCIONA;6,9;;;ACCIONA_01;2;0,5799;0,1987451245216;0,1287235696144;;;
ACCIONA;10,35;;;ACCIONA_01;2;0,8073;0,1987451245216;0,1287235696144;;;
ACCIONA;13,8;;;ACCIONA_01;2;1,0201;0,1987451245216;0,1287235696144;;;
ACCIONA;17,25;;;ACCIONA_01;2;1,2241;0,1987451245216;0,1287235696144;;;
ACCIONA;20,7;;;ACCIONA_01;2;1,4696;0,1987451245216;0,1287235696144;;;
ACCIONA;1,15;;;ACCIONA_01;3;0,1757;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;2,3;;;ACCIONA_01;3;0,2564;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;3,45;;;ACCIONA_01;3;0,3106;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;4,6;;;ACCIONA_01;3;0,4082;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;5,75;;;ACCIONA_01;3;0,4986;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;6,9;;;ACCIONA_01;3;0,5799;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;10,35;;;ACCIONA_01;3;0,8073;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;13,8;;;ACCIONA_01;3;1,0201;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;17,25;;;ACCIONA_01;3;1,2241;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;20,7;;;ACCIONA_01;3;1,4696;0,3632796937376;0,1542912968352;0,1287235696144;;
ACCIONA;27,6;;;ACCIONA_01;3;1,8501;0,3631796937376;0,1662912968352;0,1279235696144;;
ACCIONA;34,5;;;ACCIONA_01;3;2,3072;0,3631796937376;0,1662912968352;0,1279235696144;;
ACCIONA;41,4;;;ACCIONA_01;3;2,7693;0,3631796937376;0,1662912968352;0,1279235696144;;
ALFAENERGIA;1,15;1;;ALFAENERGIA_01;1;0,2038;0,1828;;;;
ALFAENERGIA;2,3;2;;ALFAENERGIA_01;1;0,3008;0,1828;;;;
ALFAENERGIA;3,45;3;;ALFAENERGIA_01;1;0,4142;0,1828;;;;
ALFAENERGIA;4,6;4;;ALFAENERGIA_01;1;0,518;0,1828;;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_01;1;0,6095;0,1828;;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_01;1;0,7393;0,1828;;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_01;1;1,0042;0,1828;;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_01;1;1,2718;0,1828;;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_01;1;1,5367;0,1828;;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_01;1;1,8399;0,1828;;;;
ALFAENERGIA;1,15;1;;ALFAENERGIA_02;1;;;;;0,0861555555555556;0,0979881874367662
ALFAENERGIA;2,3;2;;ALFAENERGIA_02;1;;;;;0,134144444444444;0,0928961874367662
ALFAENERGIA;3,45;3;;ALFAENERGIA_02;1;;;;;0,181033333333333;0,0899471874367662
ALFAENERGIA;4,6;4;;ALFAENERGIA_02;1;;;;;0,248622222222222;0,0886651874367662
ALFAENERGIA;1,15;1;;ALFAENERGIA_03;1;0,2038;0,165898795;;;;
ALFAENERGIA;2,3;2;;ALFAENERGIA_03;1;0,3008;0,165898795;;;;
ALFAENERGIA;3,45;3;;ALFAENERGIA_03;1;0,4142;0,165898795;;;;
ALFAENERGIA;4,6;4;;ALFAENERGIA_03;1;0,518;0,165898795;;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_03;1;0,6095;0,165898795;;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_03;1;0,7393;0,165898795;;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_03;1;1,0042;0,165898795;;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_03;1;1,2718;0,165898795;;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_03;1;1,5367;0,165898795;;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_03;1;1,8399;0,165898795;;;;
ALFAENERGIA;1,15;1;;ALFAENERGIA_04;1;;;;;0,128344444444444;0,112130116683247
ALFAENERGIA;2,3;2;;ALFAENERGIA_04;1;;;;;0,241566666666667;0,106514561127691
ALFAENERGIA;3,45;3;;ALFAENERGIA_04;1;;;;;0,374788888888889;0,103262338905469
ALFAENERGIA;4,6;4;;ALFAENERGIA_04;1;;;;;0,568944444444444;0,101848561127691
ALFAENERGIA;1,15;1;;ALFAENERGIA_05;1;0,2038;0,165898795;;;;
ALFAENERGIA;2,3;2;;ALFAENERGIA_05;1;0,3008;0,165898795;;;;
ALFAENERGIA;3,45;3;;ALFAENERGIA_05;1;0,4142;0,165898795;;;;
ALFAENERGIA;4,6;4;;ALFAENERGIA_05;1;0,518;0,165898795;;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_05;1;0,6095;0,165898795;;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_05;1;0,7393;0,165898795;;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_05;1;1,0042;0,165898795;;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_05;1;1,2718;0,165898795;;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_05;1;1,5367;0,165898795;;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_05;1;1,8399;0,165898795;;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_01;2;0,4142;0,2058;0,1377;;;
ALFAENERGIA;4,6;;;ALFAENERGIA_01;2;0,518;0,2058;0,1377;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_01;2;0,6095;0,2058;0,1377;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_01;2;0,7393;0,2058;0,1377;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_01;2;1,0042;0,2058;0,1377;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_01;2;1,2718;0,2058;0,1377;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_01;2;1,5367;0,2058;0,1377;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_01;2;1,8399;0,2058;0,1377;;;
ALFAENERGIA;1,15;;;ALFAENERGIA_03;2;0,2038;0,188898795;0,120798795;;;
ALFAENERGIA;2,3;;;ALFAENERGIA_03;2;0,3008;0,188898795;0,120798795;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_03;2;0,4142;0,188898795;0,120798795;;;
ALFAENERGIA;4,6;;;ALFAENERGIA_03;2;0,518;0,188898795;0,120798795;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_03;2;0,6095;0,188898795;0,120798795;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_03;2;0,7393;0,188898795;0,120798795;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_03;2;1,0042;0,188898795;0,120798795;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_03;2;1,2718;0,188898795;0,120798795;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_03;2;1,5367;0,188898795;0,120798795;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_03;2;1,8399;0,188898795;0,120798795;;;
ALFAENERGIA;1,15;;;ALFAENERGIA_05;2;0,2038;0,188898795;0,120798795;;;
ALFAENERGIA;2,3;;;ALFAENERGIA_05;2;0,3008;0,188898795;0,120798795;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_05;2;0,4142;0,188898795;0,120798795;;;
ALFAENERGIA;4,6;;;ALFAENERGIA_05;2;0,518;0,188898795;0,120798795;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_05;2;0,6095;0,188898795;0,120798795;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_05;2;0,7393;0,188898795;0,120798795;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_05;2;1,0042;0,188898795;0,120798795;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_05;2;1,2718;0,188898795;0,120798795;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_05;2;1,5367;0,188898795;0,120798795;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_05;2;1,8399;0,188898795;0,120798795;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_01;3;0,4142;0,3697;0,1616;0,1377;;
ALFAENERGIA;4,6;;;ALFAENERGIA_01;3;0,518;0,3697;0,1616;0,1377;;
ALFAENERGIA;5,75;;;ALFAENERGIA_01;3;0,6095;0,3697;0,1616;0,1377;;
ALFAENERGIA;6,9;;;ALFAENERGIA_01;3;0,7393;0,3697;0,1616;0,1377;;
ALFAENERGIA;10,35;;;ALFAENERGIA_01;3;1,0042;0,3697;0,1616;0,1377;;
ALFAENERGIA;13,8;;;ALFAENERGIA_01;3;1,2718;0,3697;0,1616;0,1377;;
ALFAENERGIA;17,25;;;ALFAENERGIA_01;3;1,5367;0,3697;0,1616;0,1377;;
ALFAENERGIA;20,7;;;ALFAENERGIA_01;3;1,8399;0,3697;0,1616;0,1377;;
ALFAENERGIA;27,6;;;ALFAENERGIA_01;3;2,3967;0,3696;0,1736;0,1369;;
ALFAENERGIA;34,5;;;ALFAENERGIA_01;3;2,9086;0,3696;0,1736;0,1369;;
ALFAENERGIA;41,4;;;ALFAENERGIA_01;3;3,4204;0,3696;0,1736;0,1369;;
ALFAENERGIA;1,15;;;ALFAENERGIA_03;3;0,2038;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;2,3;;;ALFAENERGIA_03;3;0,3008;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;3,45;;;ALFAENERGIA_03;3;0,4142;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;4,6;;;ALFAENERGIA_03;3;0,518;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;5,75;;;ALFAENERGIA_03;3;0,6095;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;6,9;;;ALFAENERGIA_03;3;0,7393;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;10,35;;;ALFAENERGIA_03;3;1,0042;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;13,8;;;ALFAENERGIA_03;3;1,2718;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;17,25;;;ALFAENERGIA_03;3;1,5367;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;20,7;;;ALFAENERGIA_03;3;1,8399;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;27,6;;;ALFAENERGIA_03;3;2,3967;0,352698795;0,156698795;0,119998795;;
ALFAENERGIA;34,5;;;ALFAENERGIA_03;3;2,9086;0,352698795;0,156698795;0,119998795;;
ALFAENERGIA;41,4;;;ALFAENERGIA_03;3;3,4204;0,352698795;0,156698795;0,119998795;;
ALFAENERGIA;1,15;;;ALFAENERGIA_05;3;0,2038;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;2,3;;;ALFAENERGIA_05;3;0,3008;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;3,45;;;ALFAENERGIA_05;3;0,4142;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;4,6;;;ALFAENERGIA_05;3;0,518;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;5,75;;;ALFAENERGIA_05;3;0,6095;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;6,9;;;ALFAENERGIA_05;3;0,7393;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;10,35;;;ALFAENERGIA_05;3;1,0042;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;13,8;;;ALFAENERGIA_05;3;1,2718;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;17,25;;;ALFAENERGIA_05;3;1,5367;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;20,7;;;ALFAENERGIA_05;3;1,8399;0,352798795;0,144698795;0,120798795;;
ALFAENERGIA;27,6;;;ALFAENERGIA_05;3;2,3967;0,352698795;0,156698795;0,119998795;;
ALFAENERGIA;34,5;;;ALFAENERGIA_05;3;2,9086;0,352698795;0,156698795;0,119998795;;
ALFAENERGIA;41,4;;;ALFAENERGIA_05;3;3,4204;0,352698795;0,156698795;0,119998795;;
AUDAX;1,15;1;;AUDAX_01;1;0,348790411;0,142784116704169;;;;
AUDAX;2,3;2;;AUDAX_01;1;0,401690411;0,142784116704169;;;;
AUDAX;3,45;3;;AUDAX_01;1;0,454590411;0,142784116704169;;;;
AUDAX;4,6;4;;AUDAX_01;1;0,507490411;0,142784116704169;;;;
AUDAX;5,75;;;AUDAX_01;1;0,560390411;0,142784116704169;;;;
AUDAX;6,9;;;AUDAX_01;1;0,613290411;0,142784116704169;;;;
AUDAX;10,35;;;AUDAX_01;1;0,870620548;0,142784116704169;;;;
AUDAX;13,8;;;AUDAX_01;1;1,029320548;0,142784116704169;;;;
AUDAX;17,25;;;AUDAX_01;1;1,188020548;0,142784116704169;;;;
AUDAX;20,7;;;AUDAX_01;1;1,346720548;0,142784116704169;;;;
AUDAX;1,15;1;;AUDAX_02;1;0,2173;0,1681;;;;
AUDAX;2,3;2;;AUDAX_02;1;0,2702;0,1681;;;;
AUDAX;3,45;3;;AUDAX_02;1;0,3231;0,1681;;;;
AUDAX;4,6;4;;AUDAX_02;1;0,376;0,1681;;;;
AUDAX;5,75;;;AUDAX_02;1;0,4289;0,1681;;;;
AUDAX;6,9;;;AUDAX_02;1;0,4818;0,1681;;;;
AUDAX;10,35;;;AUDAX_02;1;0,6405;0,1681;;;;
AUDAX;13,8;;;AUDAX_02;1;0,7992;0,1681;;;;
AUDAX;17,25;;;AUDAX_02;1;0,9579;0,1681;;;;
AUDAX;20,7;;;AUDAX_02;1;1,1166;0,1681;;;;
AUDAX;1,15;1;;AUDAX_03;1;;;;;0,3156;0,1195
AUDAX;2,3;2;;AUDAX_03;1;;;;;0,383;0,1074
AUDAX;3,45;3;;AUDAX_03;1;;;;;0,4494;0,0975
AUDAX;4,6;4;;AUDAX_03;1;;;;;0,5031;0,0932
AUDAX;1,15;1;;AUDAX_04;1;;;;;0,1816125;0,114943291691079
AUDAX;2,3;2;;AUDAX_04;1;;;;;0,22131875;0,102851291691079
AUDAX;3,45;3;;AUDAX_04;1;;;;;0,26670625;0,092902291691079
AUDAX;4,6;4;;AUDAX_04;1;;;;;0,300379105086452;0,091620291691079
AUDAX;1,15;1;;AUDAX_05;1;0,4803;0,1871;;;;
AUDAX;2,3;2;;AUDAX_05;1;0,5332;0,1871;;;;
AUDAX;3,45;3;;AUDAX_05;1;0,5861;0,1871;;;;
AUDAX;4,6;4;;AUDAX_05;1;0,639;0,1871;;;;
AUDAX;5,75;;;AUDAX_05;1;0,6919;0,1871;;;;
AUDAX;6,9;;;AUDAX_05;1;0,7448;0,1871;;;;
AUDAX;10,35;;;AUDAX_05;1;0,9035;0,1871;;;;
AUDAX;13,8;;;AUDAX_05;1;1,0622;0,1871;;;;
AUDAX;17,25;;;AUDAX_05;1;1,2209;0,1871;;;;
AUDAX;20,7;;;AUDAX_05;1;1,3796;0,1871;;;;
AUDAX;1,15;1;;AUDAX_06;1;0,4803;0,1641;;;;
AUDAX;2,3;2;;AUDAX_06;1;0,5332;0,1641;;;;
AUDAX;3,45;3;;AUDAX_06;1;0,619;0,1641;;;;
AUDAX;4,6;4;;AUDAX_06;1;0,6719;0,1641;;;;
AUDAX;5,75;;;AUDAX_06;1;0,7412;0,1641;;;;
AUDAX;6,9;;;AUDAX_06;1;0,9092;0,1641;;;;
AUDAX;10,35;;;AUDAX_06;1;1,298;0,1641;;;;
AUDAX;13,8;;;AUDAX_06;1;1,4567;0,1641;;;;
AUDAX;17,25;;;AUDAX_06;1;1,7798;0,1641;;;;
AUDAX;20,7;;;AUDAX_06;1;1,9385;0,1641;;;;
AUDAX;1,15;1;;AUDAX_07;1;0,3159;0,1791;;;;
AUDAX;2,3;2;;AUDAX_07;1;0,3688;0,1791;;;;
AUDAX;3,45;3;;AUDAX_07;1;0,4217;0,1791;;;;
AUDAX;4,6;4;;AUDAX_07;1;0,4746;0,1791;;;;
AUDAX;5,75;;;AUDAX_07;1;0,5275;0,1791;;;;
AUDAX;6,9;;;AUDAX_07;1;0,5804;0,1791;;;;
AUDAX;10,35;;;AUDAX_07;1;0,7391;0,1791;;;;
AUDAX;13,8;;;AUDAX_07;1;0,8978;0,1791;;;;
AUDAX;17,25;;;AUDAX_07;1;1,0565;0,1791;;;;
AUDAX;20,7;;;AUDAX_07;1;1,2152;0,1791;;;;
AUDAX;1,15;1;;AUDAX_08;1;0,3817;0,1831;;;;
AUDAX;2,3;2;;AUDAX_08;1;0,4346;0,1831;;;;
AUDAX;3,45;3;;AUDAX_08;1;0,4875;0,1831;;;;
AUDAX;4,6;4;;AUDAX_08;1;0,5404;0,1831;;;;
AUDAX;5,75;;;AUDAX_08;1;0,5933;0,1831;;;;
AUDAX;6,9;;;AUDAX_08;1;0,6462;0,1831;;;;
AUDAX;10,35;;;AUDAX_08;1;0,8049;0,1831;;;;
AUDAX;13,8;;;AUDAX_08;1;0,9636;0,1831;;;;
AUDAX;17,25;;;AUDAX_08;1;1,1223;0,1831;;;;
AUDAX;20,7;;;AUDAX_08;1;1,281;0,1831;;;;
AUDAX;3,45;;;AUDAX_01;2;0,454590411;0,165784116704169;0,0976841167041689;;;
AUDAX;4,6;;;AUDAX_01;2;0,507490411;0,165784116704169;0,0976841167041689;;;
AUDAX;5,75;;;AUDAX_01;2;0,560390411;0,165784116704169;0,0976841167041689;;;
AUDAX;6,9;;;AUDAX_01;2;0,613290411;0,165784116704169;0,0976841167041689;;;
AUDAX;10,35;;;AUDAX_01;2;0,870620548;0,165784116704169;0,0976841167041689;;;
AUDAX;13,8;;;AUDAX_01;2;1,029320548;0,165784116704169;0,0976841167041689;;;
AUDAX;17,25;;;AUDAX_01;2;1,188020548;0,165784116704169;0,0976841167041689;;;
AUDAX;20,7;;;AUDAX_01;2;1,346720548;0,165784116704169;0,0976841167041689;;;
AUDAX;1,15;;;AUDAX_02;2;0,2173;0,1869;0,1314;;;
AUDAX;2,3;;;AUDAX_02;2;0,2702;0,1869;0,1314;;;
AUDAX;3,45;;;AUDAX_02;2;0,3231;0,1869;0,1314;;;
AUDAX;4,6;;;AUDAX_02;2;0,376;0,1869;0,1314;;;
AUDAX;5,75;;;AUDAX_02;2;0,4289;0,1869;0,1314;;;
AUDAX;6,9;;;AUDAX_02;2;0,4818;0,1869;0,1314;;;
AUDAX;10,35;;;AUDAX_02;2;0,6405;0,1869;0,1314;;;
AUDAX;13,8;;;AUDAX_02;2;0,7992;0,1869;0,1314;;;
AUDAX;17,25;;;AUDAX_02;2;0,9579;0,1869;0,1314;;;
AUDAX;20,7;;;AUDAX_02;2;1,1166;0,1869;0,1314;;;
AUDAX;1,15;;;AUDAX_05;2;0,4803;0,2059;0,1504;;;
AUDAX;2,3;;;AUDAX_05;2;0,5332;0,2059;0,1504;;;
AUDAX;3,45;;;AUDAX_05;2;0,5861;0,2059;0,1504;;;
AUDAX;4,6;;;AUDAX_05;2;0,639;0,2059;0,1504;;;
AUDAX;5,75;;;AUDAX_05;2;0,6919;0,2059;0,1504;;;
AUDAX;6,9;;;AUDAX_05;2;0,7448;0,2059;0,1504;;;
AUDAX;10,35;;;AUDAX_05;2;0,9035;0,2059;0,1504;;;
AUDAX;13,8;;;AUDAX_05;2;1,0622;0,2059;0,1504;;;
AUDAX;17,25;;;AUDAX_05;2;1,2209;0,2059;0,1504;;;
AUDAX;20,7;;;AUDAX_05;2;1,3796;0,2059;0,1504;;;
AUDAX;1,15;;;AUDAX_06;2;0,4803;0,1829;0,1274;;;
AUDAX;2,3;;;AUDAX_06;2;0,5332;0,1829;0,1274;;;
AUDAX;3,45;;;AUDAX_06;2;0,619;0,1829;0,1274;;;
AUDAX;4,6;;;AUDAX_06;2;0,6719;0,1829;0,1274;;;
AUDAX;5,75;;;AUDAX_06;2;0,7412;0,1829;0,1274;;;
AUDAX;6,9;;;AUDAX_06;2;0,9092;0,1829;0,1274;;;
AUDAX;10,35;;;AUDAX_06;2;1,298;0,1829;0,1274;;;
AUDAX;13,8;;;AUDAX_06;2;1,4567;0,1829;0,1274;;;
AUDAX;17,25;;;AUDAX_06;2;1,7798;0,1829;0,1274;;;
AUDAX;20,7;;;AUDAX_06;2;1,9835;0,1829;0,1274;;;
AUDAX;1,15;;;AUDAX_07;2;0,3159;0,1979;0,1424;;;
AUDAX;2,3;;;AUDAX_07;2;0,3688;0,1979;0,1424;;;
AUDAX;3,45;;;AUDAX_07;2;0,4217;0,1979;0,1424;;;
AUDAX;4,6;;;AUDAX_07;2;0,4746;0,1979;0,1424;;;
AUDAX;5,75;;;AUDAX_07;2;0,5275;0,1979;0,1424;;;
AUDAX;6,9;;;AUDAX_07;2;0,5804;0,1979;0,1424;;;
AUDAX;10,35;;;AUDAX_07;2;0,7391;0,1979;0,1424;;;
